,Tree ID,Species Name,DBH,Height,Crown Height,Crown Width,Canopy Cover,Tree Condition,Leaf Area,Leaf Biomass,Leaf Area Index,Basal Area,,Native to State
,,,(cm),(m),(m),(m),(m²),,(m²),(kg),,(m²),,
,748,Acacia,40.00,14.00,4.20,10.00,78.50,FAIR,350.10,84.60,4.50,0.10,,
,911,Crataegus,9.00,3.00,0.90,3.00,7.10,FAIR,8.50,0.30,1.20,0.00,,
,912,Crataegus,9.00,3.00,0.90,3.00,7.10,FAIR,11.00,0.40,1.60,0.00,,
,913,Crataegus,10.00,3.00,0.90,3.00,7.10,FAIR,11.50,0.40,1.60,0.00,,
,914,Crataegus,10.00,3.00,0.90,3.00,7.10,FAIR,11.50,0.40,1.60,0.00,,
,915,Crataegus,10.00,3.50,1.00,3.00,7.10,FAIR,9.30,0.30,1.30,0.00,,
,916,Crataegus,10.00,3.50,1.00,3.00,7.10,FAIR,7.20,0.30,1.00,0.00,,
,917,Crataegus,9.00,3.00,0.90,2.00,3.10,FAIR,3.80,0.10,1.20,0.00,,
,918,Crataegus,10.00,3.00,0.90,2.00,3.10,FAIR,5.10,0.20,1.60,0.00,,
,920,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,3.10,0.10,1.80,0.00,,
,921,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,2.70,0.10,1.60,0.00,,
,922,Crataegus,8.00,3.00,0.90,2.00,3.10,FAIR,4.70,0.20,1.50,0.00,,
,923,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,3.10,0.10,1.80,0.00,,
,924,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,2.60,0.10,1.50,0.00,,
,925,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,3.10,0.10,1.80,0.00,,
,926,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,2.90,0.10,1.70,0.00,,
,927,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,3.10,0.10,1.80,0.00,,
,928,Crataegus,8.00,3.00,0.90,1.50,1.80,FAIR,3.10,0.10,1.80,0.00,,
,929,Koelreuteria paniculata,18.00,5.00,1.50,5.00,19.60,FAIR,30.60,2.50,1.60,0.00,,
,930,Koelreuteria paniculata,16.00,4.00,1.20,4.00,12.60,FAIR,22.10,1.80,1.80,0.00,,
,931,Celtis australis,15.00,4.00,1.20,4.00,12.60,FAIR,19.80,1.20,1.60,0.00,,
,932,Celtis australis,14.00,4.00,1.20,4.00,12.60,FAIR,14.90,0.90,1.20,0.00,,
,933,Celtis australis,14.00,4.00,1.20,4.00,12.60,FAIR,14.90,0.90,1.20,0.00,,
,934,Celtis australis,14.00,4.00,1.20,4.00,12.60,FAIR,19.30,1.10,1.50,0.00,,
,935,Celtis australis,14.00,4.00,1.20,4.00,12.60,FAIR,19.30,1.10,1.50,0.00,,
,936,Celtis australis,13.00,4.00,1.20,4.00,12.60,FAIR,14.50,0.90,1.20,0.00,,
,938,Pinus,46.00,15.00,4.50,12.00,113.10,FAIR,417.00,40.20,3.70,0.20,,
,946,Tilia cordata,15.00,8.00,2.40,6.00,28.30,FAIR,65.00,4.90,2.30,0.00,,
,947,Tilia cordata,15.00,8.00,2.40,6.00,28.30,FAIR,60.80,4.60,2.20,0.00,,
,948,Tilia cordata,24.00,10.00,3.00,8.00,50.30,FAIR,154.20,11.60,3.10,0.00,,
,949,Abies nordmanniana,32.00,8.00,2.40,6.00,28.30,FAIR,76.00,10.70,2.70,0.10,,
,962,Celtis australis,38.00,9.00,2.70,14.00,153.90,FAIR,400.90,23.60,2.60,0.10,,
,963,Celtis australis,32.00,8.00,2.40,12.00,113.10,FAIR,309.00,18.20,2.70,0.10,,
,964,Celtis australis,32.00,8.00,2.40,12.00,113.10,FAIR,309.00,18.20,2.70,0.10,,
,973,Prunus cerasifera,32.00,10.00,3.00,8.00,50.30,FAIR,157.40,9.60,3.10,0.10,,
,985,Cupressus,16.00,10.00,3.00,1.00,0.80,FAIR,4.50,1.10,5.70,0.00,,
,986,Cupressus,34.00,14.00,4.20,2.00,3.10,FAIR,16.60,3.90,5.30,0.10,,
,987,Cupressus,44.00,14.00,4.20,2.00,3.10,FAIR,15.80,3.70,5.00,0.20,,
,988,Sorbus,8.00,4.00,1.20,1.00,0.80,FAIR,2.10,0.20,2.70,0.00,,
,989,Sorbus aucuparia,8.00,4.00,1.20,1.00,0.80,FAIR,2.20,0.20,2.80,0.00,,
,1008,Platanus x hispanica,40.00,15.00,4.50,9.00,63.60,FAIR,285.40,13.10,4.50,0.10,,
,1018,Corylus colurna,21.00,8.00,2.40,7.00,38.50,FAIR,109.40,7.60,2.80,0.00,,
,1019,Corylus colurna,28.00,11.00,3.30,10.00,78.50,FAIR,262.50,18.20,3.30,0.10,,
,1038,Prunus serrulata,13.00,4.00,1.20,4.00,12.60,FAIR,11.40,0.90,0.90,0.00,,
,1039,Prunus serrulata,10.00,3.50,1.00,2.50,4.90,FAIR,3.90,0.30,0.80,0.00,,
,1042,Prunus serrulata,17.00,4.00,1.20,3.00,7.10,FAIR,7.30,0.60,1.00,0.00,,
,1043,Prunus serrulata,21.00,5.00,1.50,4.00,12.60,FAIR,11.00,0.90,0.90,0.00,,
,1049,Pyrus calleryana,12.00,6.00,1.80,3.00,7.10,FAIR,11.10,0.80,1.60,0.00,,
,1050,Pyrus calleryana,16.00,6.50,1.90,4.00,12.60,FAIR,22.90,1.70,1.80,0.00,,
,1051,Pyrus calleryana,9.00,5.00,1.50,2.50,4.90,FAIR,7.50,0.60,1.50,0.00,,
,1052,Pyrus calleryana,14.00,7.00,2.10,4.00,12.60,FAIR,21.00,1.60,1.70,0.00,,
,1053,Pyrus calleryana,13.00,6.00,1.80,3.00,7.10,FAIR,13.00,1.00,1.80,0.00,,
,1054,Pyrus calleryana,15.00,6.50,1.90,4.00,12.60,FAIR,25.30,1.90,2.00,0.00,,
,1055,Pyrus calleryana,16.00,7.00,2.10,4.00,12.60,FAIR,26.70,2.00,2.10,0.00,,
,1056,Pyrus calleryana,12.00,6.50,1.90,4.00,12.60,FAIR,22.00,1.70,1.80,0.00,,
,1057,Pyrus calleryana,12.00,6.50,1.90,4.00,12.60,FAIR,18.00,1.40,1.40,0.00,,
,1058,Pyrus calleryana,14.00,6.50,1.90,4.00,12.60,FAIR,19.00,1.40,1.50,0.00,,
,1059,Pyrus calleryana,14.00,6.50,1.90,4.00,12.60,FAIR,19.00,1.40,1.50,0.00,,
,1060,Pyrus calleryana,12.00,6.50,1.90,4.00,12.60,FAIR,18.00,1.40,1.40,0.00,,
,1061,Pyrus calleryana,17.00,7.00,2.10,4.00,12.60,FAIR,24.10,1.80,1.90,0.00,,
,1062,Pyrus calleryana,16.00,6.00,1.80,3.00,7.10,FAIR,14.00,1.10,2.00,0.00,,
,1063,Pyrus calleryana,9.00,4.00,1.20,1.50,1.80,FAIR,4.10,0.30,2.30,0.00,,
,1064,Pyrus calleryana,13.00,5.00,1.50,4.00,12.60,FAIR,22.00,1.70,1.70,0.00,,
,1065,Pyrus calleryana,13.00,6.00,1.80,4.00,12.60,FAIR,23.30,1.80,1.90,0.00,,
,1066,Pyrus calleryana,16.00,7.00,2.10,4.00,12.60,FAIR,26.70,2.00,2.10,0.00,,
,1067,Pyrus calleryana,16.00,7.00,2.10,4.00,12.60,FAIR,23.60,1.80,1.90,0.00,,
,1068,Pyrus calleryana,12.00,4.50,1.30,2.00,3.10,FAIR,5.60,0.40,1.80,0.00,,
,1069,Pyrus calleryana,12.00,5.00,1.50,4.00,12.60,FAIR,20.10,1.50,1.60,0.00,,
,1070,Pyrus calleryana,19.00,7.00,2.10,4.00,12.60,FAIR,28.30,2.10,2.30,0.00,,
,1071,Pyrus calleryana,9.00,4.00,1.20,2.00,3.10,FAIR,5.20,0.40,1.70,0.00,,
,1072,Pyrus calleryana,8.00,3.50,1.00,1.50,1.80,FAIR,4.00,0.30,2.20,0.00,,
,1073,Pyrus calleryana,18.00,7.00,2.10,4.00,12.60,FAIR,27.80,2.10,2.20,0.00,,
