TreeID,SpeciesName,DBH,ReplacementValue,CarbonStorage,GrossCarbonSequestration,AvoidedRunoff,PollutionRemoval,TotalAnnualBenefits
1440,Tilia cordata,5,90.12,2.9,0.4,0,2.8,0.09
1441,Tilia cordata,5,90.12,2.9,0.4,0,3.8,0.1
1442,Tilia cordata,17,769.55,52.4,2.3,0,29.5,0.59
1443,Tilia cordata,8,230.7,8.9,0.8,0,6.6,0.18
1444,Tilia cordata,16,714.45,45.5,2.1,0.1,61.1,0.8
1445,Tilia platyphyllos,14,600.25,33.2,1.7,0.1,61.2,0.74
1446,Tilia platyphyllos,14,600.25,33.2,1.7,0.1,54.2,0.69
1447,Tilia platyphyllos,14,600.25,33.2,1.7,0.1,61.2,0.74
1448,Tilia platyphyllos,16,691.36,45.5,2.1,0.1,65.9,0.83
1449,Tilia platyphyllos,16,691.36,45.5,2.1,0.1,54.6,0.75
1450,Tilia platyphyllos,8,209.81,8.9,0.8,0,16.1,0.25
1451,Tilia platyphyllos,15,644.29,39,1.9,0.1,59.1,0.75
1452,Tilia platyphyllos,12,521.29,23.1,1.4,0,32.8,0.48
1453,Prunus serrulata,20,753.01,137,5.2,0.1,44.8,1.17
1454,Platanus x hispanica,10,289.26,20.2,1.5,0,8,0.31
1455,Platanus x hispanica,10,289.26,20.2,1.5,0,9.7,0.32
1456,Platanus x hispanica,12,514,31.3,2,0,11.1,0.4
1457,Platanus x hispanica,13,547.5,37.9,2.2,0,9.5,0.43
1458,Platanus x hispanica,11,483.19,25.4,1.7,0,13.7,0.38
1459,Platanus x hispanica,11,483.19,25.4,1.7,0,17.8,0.41
1462,Acer pseudoplatanus,3,51.38,1.3,0.3,0,2.8,0.07
1463,Acer pseudoplatanus,35,1916.13,349.5,7.1,0.3,241.5,2.97
1464,Acer pseudoplatanus,20,844.77,101.1,3.5,0,30.4,0.8
1465,Acer pseudoplatanus,30,1494.08,252.8,5.9,0.1,117.3,1.84
1468,Cupressus sempervirens,10,270.44,33.9,1.9,0,5.2,0.34
1469,Cupressus sempervirens,12,483.9,47.3,2.3,0,4.9,0.41
1470,Cupressus sempervirens,12,483.9,47.3,2.3,0,4.9,0.41
1471,Fraxinus excelsior,7,139.56,8.3,1.1,0,17.1,0.3
1472,Fraxinus excelsior,4,52.2,2.3,0.5,0,6.4,0.13
1473,Fraxinus excelsior,12,513.16,26.5,2,0.1,56.7,0.75
1474,Fraxinus ornus,7,139.56,14.5,1,0,12.1,0.25
1489,Acer pseudoplatanus,35,1916.13,349.5,7.1,0.2,186,2.55
1490,Acer pseudoplatanus,22,953.85,124.7,4,0.1,65.5,1.13
1491,Acer pseudoplatanus,25,1136.96,176.3,4.9,0.3,209.2,2.36
1492,Acer pseudoplatanus,25,1136.96,183.3,5,0.4,307.2,3.12
1493,Acer pseudoplatanus,25,1136.96,169,4.7,0.1,110,1.59
1494,Carpinus betulus,7,136.55,13.2,1.1,0,19.7,0.33
1495,Carpinus betulus,7,136.55,13.2,1.1,0,11.1,0.26
1496,Carpinus betulus,7,136.55,13.2,1.1,0,19.7,0.33
1497,Celtis australis,19,810.06,26.3,1,0.1,92.1,0.85
1499,Tilia cordata,15,662.69,39,1.9,0,32.2,0.55
1500,Tilia cordata,13,569.19,27.9,1.6,0,37,0.53
1501,Tilia cordata,15,662.69,39,1.9,0,39,0.6
1502,Tilia cordata,14,614.27,33.2,1.7,0,35.8,0.55
1503,Tilia cordata,16,714.45,45.5,2.1,0,30.7,0.57
1504,Tilia cordata,13,569.19,27.9,1.6,0,13.6,0.36
1505,Tilia cordata,16,714.45,45.5,2.1,0.1,51,0.72
1506,Tilia cordata,10,360.47,15,1.1,0,17.6,0.31
1507,Tilia cordata,7,176.63,6.5,0.7,0,5.5,0.15
1508,Tilia cordata,14,614.27,33.2,1.7,0.1,59.8,0.73
1509,Tilia cordata,13,569.19,27.9,1.6,0,28,0.47
1510,Tilia cordata,7,176.63,6.5,0.7,0,6,0.16
1511,Tilia cordata,8,230.7,8.9,0.8,0,6.9,0.18
1512,Tilia cordata,7,176.63,6.5,0.7,0,3.5,0.14
1513,Tilia cordata,9,291.98,11.7,1,0,7.7,0.21
1514,Tilia cordata,7,176.63,6.5,0.7,0,5.3,0.15
1515,Tilia cordata,7,176.63,6.5,0.7,0,5.3,0.15
1516,Tilia cordata,7,176.63,6.5,0.7,0,6,0.16
1517,Tilia cordata,11,489.05,18.8,1.3,0,23.8,0.38
1518,Tilia cordata,12,527.45,23.1,1.4,0.1,44.5,0.56
1519,Tilia cordata,6,129.77,4.5,0.6,0,4,0.12
1520,Tilia cordata,14,614.27,33.2,1.7,0,29.3,0.5
1521,Tilia cordata,13,569.19,27.9,1.6,0,30.9,0.49
1522,Tilia cordata,9,291.98,11.7,1,0,6.4,0.2
1523,Tilia cordata,10,360.47,15,1.1,0,13.4,0.28
1524,Tilia cordata,10,360.47,15,1.1,0,15.4,0.3
1525,Tilia cordata,12,527.45,23.1,1.4,0,32.9,0.48
