,Tree ID,Species Name,Oxygen Production
,,,(kg/yr)
,1657,Tilia cordata,3.00
,1658,Tilia cordata,3.00
,1659,Tilia,7.10
,1660,Tilia,7.10
,1661,Tilia cordata,3.00
,1662,Tilia cordata,3.00
,1663,Tilia cordata,3.00
,1664,Tilia cordata,3.00
,1665,Tilia cordata,3.00
,1666,Tilia cordata,3.00
,1667,Tilia cordata,3.00
,1668,Tilia cordata,3.00
,1669,Tilia cordata,3.00
,1670,Tilia cordata,3.00
,1671,Tilia cordata,3.00
,1672,Tilia cordata,3.00
,1673,Tilia cordata,3.00
,1674,Tilia cordata,3.00
,1675,Tilia cordata,3.00
,1676,Tilia cordata,3.00
,1677,Tilia cordata,3.00
,1678,Tilia cordata,3.00
,1679,Tilia cordata,3.00
,1680,Tilia cordata,3.00
,1681,Tilia cordata,3.00
,1682,Tilia cordata,3.00
,1683,Tilia cordata,3.00
,1684,Tilia cordata,3.00
,1685,Tilia cordata,3.00
,1686,Tilia cordata,3.00
,1687,Tilia cordata,3.00
,1688,Tilia cordata,3.00
,1689,Tilia cordata,3.00
,1690,Tilia cordata,3.00
,1691,Tilia cordata,3.00
,1692,Tilia cordata,3.00
,1693,Tilia cordata,3.00
,1694,Tilia cordata,3.00
,1695,Tilia cordata,3.00
,1696,Tilia cordata,3.00
,1697,Tilia cordata,3.00
,1698,Tilia cordata,3.00
,1699,Tilia cordata,3.00
,1700,Tilia cordata,3.00
,1701,Tilia cordata,3.00
,1702,Tilia cordata,3.00
,1703,Tilia cordata,3.00
,1704,Tilia cordata,3.00
,1705,Tilia cordata,3.00
,1706,Tilia cordata,3.00
,1707,Tilia cordata,3.00
,1708,Tilia cordata,3.00
,1709,Tilia cordata,3.00
,1710,Tilia cordata,3.00
,1711,Tilia cordata,3.00
,1712,Tilia cordata,3.00
,1713,Tilia cordata,3.00
,1823,Pinus sylvestris,11.40
,1824,Celtis australis,2.50
,1825,Parrotia persica,1.70
,1826,Parrotia persica,1.40
,1827,Parrotia persica,2.10
,1828,Parrotia persica,2.40
,1829,Parrotia persica,2.10
,1859,Cercis siliquastrum,3.90
,1860,Cercis siliquastrum,5.80
,1861,Cercis siliquastrum,3.90
,1874,Ostrya carpinifolia,2.80
,1875,Ostrya carpinifolia,3.40
,1876,Ostrya carpinifolia,10.60
,1923,Quercus robur,10.10
,1924,Quercus robur,14.10
,1925,Quercus robur,10.10
,1926,Quercus robur,8.80
,1927,Quercus robur,9.40
,1928,Quercus robur,8.80
,1929,Quercus robur,12.10
,1930,Quercus robur,6.80
,1931,Quercus robur,7.40
,1932,Quercus robur,14.70
,1933,Quercus robur,14.10
,1934,Quercus robur,10.80
,1935,Quercus robur,10.10
,1936,Quercus robur,16.10
,1937,Quercus robur,17.40
,1938,Quercus robur,14.70
,1939,Quercus robur,12.70
,1940,Quercus robur,9.40
,1941,Quercus robur,12.10
,1942,Quercus robur,16.10
,1943,Quercus robur,9.40
,1944,Quercus robur,9.40
,1945,Quercus robur,16.70
,1946,Quercus robur,10.80
,1947,Juglans nigra,5.80
,1948,Fraxinus excelsior,5.10
,1986,Cercis siliquastrum,3.10
,1990,Carpinus betulus,4.50
,1991,Carpinus betulus,4.00
,1992,Carpinus betulus,4.50
,1993,Carpinus betulus,4.50
,1994,Carpinus betulus,4.00
,1995,Carpinus betulus,4.50
,1996,Carpinus betulus,4.50
,1997,Carpinus betulus,4.00
,1998,Carpinus betulus,4.50
,1999,Carpinus betulus,4.00
,2000,Carpinus betulus,4.00
,2001,Carpinus betulus,4.50
,2002,Carpinus betulus,4.50
,2003,Carpinus betulus,4.50
,2004,Carpinus betulus,4.00
,2005,Carpinus betulus,4.00
,2006,Carpinus betulus,4.50
,2007,Carpinus betulus,4.00
,2008,Carpinus betulus,4.00
,2009,Carpinus betulus,4.00
,2010,Carpinus betulus,4.00
,2011,Carpinus betulus,4.50
,2012,Carpinus betulus,4.00
,2013,Carpinus betulus,4.50
,2014,Carpinus betulus,4.00
,2015,Carpinus betulus,4.00
,2016,Carpinus betulus,4.00
,2017,Carpinus betulus,4.00
,2018,Carpinus betulus,4.50
,2019,Morus alba,5.20
,2020,Morus alba,6.00
,2021,Morus alba,4.40
,2022,Morus alba,4.00
,2023,Morus alba,3.70
,2024,Morus alba,4.00
,2025,Morus alba,4.00
,2026,Morus alba,3.70
,2027,Morus alba,5.20
,2028,Morus alba,1.70
,2029,Morus alba,1.70
,2030,Morus alba,4.40
,2031,Morus alba,4.40
,2032,Morus alba,3.70
,2033,Morus alba,3.70
,2034,Morus alba,3.70
,2035,Morus alba,3.70
,2036,Morus alba,5.20
,2037,Morus alba,5.20
,2038,Morus alba,5.20
,2039,Morus alba,5.20
,2040,Morus alba,5.20
,2041,Morus alba,5.20
,2042,Morus alba,4.40
,2043,Morus alba,5.20
,2044,Celtis australis,2.50
,2045,Celtis australis,2.50
,2046,Celtis australis,2.50
,2047,Celtis australis,2.50
,2048,Celtis australis,2.50
,2049,Celtis australis,2.50
,2050,Celtis australis,2.40
,2051,Celtis australis,2.50
,2052,Celtis australis,2.50
,2053,Celtis australis,2.50
,2054,Celtis australis,2.60
,2055,Celtis australis,2.60
,2056,Celtis australis,2.60
,2057,Celtis australis,2.60
,2058,Celtis australis,2.60
,2059,Celtis australis,2.50
,2060,Celtis australis,2.60
,2061,Celtis australis,2.60
,2062,Celtis australis,2.80
,2063,Celtis australis,1.70
,2064,Celtis australis,1.50
,2065,Celtis australis,1.70
,2066,Celtis australis,1.70
,2067,Celtis australis,1.50
,2068,Celtis australis,1.60
,2069,Celtis australis,1.50
,2070,Celtis australis,1.80
,2071,Celtis australis,1.80
,2072,Celtis australis,1.80
,2073,Celtis australis,1.80
,2074,Celtis australis,1.80
,2075,Celtis australis,2.00
,2076,Celtis australis,1.80
,2077,Celtis australis,1.80
,2078,Celtis australis,1.80
,2079,Celtis australis,1.80
,2080,Celtis australis,1.80
,2081,Celtis australis,1.80
,2082,Celtis australis,1.80
,2083,Celtis australis,1.80
,2084,Celtis australis,1.60
,2085,Celtis australis,1.70
,2086,Celtis australis,1.70
,2087,Celtis australis,1.70
,2088,Celtis australis,1.80
,2089,Celtis australis,1.80
,2090,Celtis australis,3.10
,2091,Celtis australis,3.10
,2092,Celtis australis,2.60
,2093,Celtis australis,2.70
,2094,Celtis australis,2.70
,2095,Celtis australis,2.70
,2096,Celtis australis,2.70
,2097,Celtis australis,2.60
,2098,Celtis australis,2.70
,2099,Celtis australis,2.80
,2100,Celtis australis,2.50
,2101,Celtis australis,2.80
,2102,Celtis australis,2.60
,2103,Celtis australis,2.60
,2104,Celtis australis,2.60
,2105,Celtis australis,2.80
,2106,Celtis australis,2.60
,2107,Celtis australis,2.90
,2108,Celtis australis,3.10
,2109,Celtis australis,1.80
,2110,Celtis australis,1.80
,2111,Celtis australis,2.50
